"filename", "language", "C++", "HTML", "JSON", "Markdown", "Dart", "YAML", "Swift", "XML", "Java Properties", "comment", "blank", "total"
"c:\Users\Acer\u_teen\lib\widgets\seller\sales_metric_card.dart", "Dart", 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 3, 65
"c:\Users\Acer\u_teen\lib\widgets\seller\seller_custom_bottom_navigation.dart", "Dart", 0, 0, 0, 0, 164, 0, 0, 0, 0, 0, 16, 180
"c:\Users\Acer\u_teen\lib\widgets\seller\status_button.dart", "Dart", 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 3, 75
"c:\Users\Acer\u_teen\lib\widgets\time_picker_widget.dart", "Dart", 0, 0, 0, 0, 112, 0, 0, 0, 0, 2, 15, 129
"c:\Users\Acer\u_teen\linux\flutter\generated_plugin_registrant.cc", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 16
"c:\Users\Acer\u_teen\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\Acer\u_teen\linux\runner\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Acer\u_teen\linux\runner\my_application.cc", "C++", 83, 0, 0, 0, 0, 0, 0, 0, 0, 21, 27, 131
"c:\Users\Acer\u_teen\linux\runner\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\Acer\u_teen\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 3, 4, 19
"c:\Users\Acer\u_teen\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 4, 13
"c:\Users\Acer\u_teen\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"c:\Users\Acer\u_teen\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\Acer\u_teen\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 1, 344
"c:\Users\Acer\u_teen\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"c:\Users\Acer\u_teen\package-lock.json", "JSON", 0, 0, 862, 0, 0, 0, 0, 0, 0, 0, 1, 863
"c:\Users\Acer\u_teen\package.json", "JSON", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 1, 29
"c:\Users\Acer\u_teen\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 44, 0, 0, 0, 1, 14, 59
"c:\Users\Acer\u_teen\test\widget_test.dart", "Dart", 0, 0, 0, 0, 14, 0, 0, 0, 0, 10, 7, 31
"c:\Users\Acer\u_teen\web\index.html", "HTML", 0, 19, 0, 0, 0, 0, 0, 0, 0, 15, 5, 39
"c:\Users\Acer\u_teen\web\manifest.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\Acer\u_teen\windows\flutter\generated_plugin_registrant.cc", "C++", 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 15
"c:\Users\Acer\u_teen\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\Acer\u_teen\windows\runner\flutter_window.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\Acer\u_teen\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\Acer\u_teen\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\Acer\u_teen\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\Acer\u_teen\windows\runner\utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\Acer\u_teen\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\Acer\u_teen\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\Acer\u_teen\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 547, 19, 1143, 13, 8719, 47, 61, 471, 10, 376, 925, 12331
