"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Acer\u_teen\lib\screens\seller\my_balance_screen.dart", "Dart", -8, 0, 0, -8
"c:\Users\Acer\u_teen\lib\screens\seller\my_product_screen.dart", "Dart", -8, 0, 0, -8
"c:\Users\Acer\u_teen\lib\screens\seller\profile_screen.dart", "Dart", 654, 1, 15, 670
"c:\Users\Acer\u_teen\lib\widgets\seller\custom_bottom_navigation.dart", "Dart", 152, 0, 13, 165
"c:\Users\Acer\u_teen\lib\widgets\seller\seller_custom_bottom_navigation.dart", "Dart", -164, 0, -16, -180
"Total", "-", 626, 1, 12, 639
