"filename", "language", "HTML", "C++", "JSON", "CMake", "YAML", "Markdown", "Dart", "Swift", "XML", "Python", "Java Properties", "Gradle", "comment", "blank", "total"
"c:\Users\Acer\u_teen\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 1, 38
"c:\Users\Acer\u_teen\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 1, 27
"c:\Users\Acer\u_teen\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Acer\u_teen\lib\auth\auth_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 9, 125
"c:\Users\Acer\u_teen\lib\auth\auth_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 2, 10, 84
"c:\Users\Acer\u_teen\lib\auth\logout_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 5, 5, 77
"c:\Users\Acer\u_teen\lib\data\data_initializer.dart", "Dart", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 5, 8, 73
"c:\Users\Acer\u_teen\lib\data\food_data.dart", "Dart", 0, 0, 0, 0, 0, 0, 136, 0, 0, 0, 0, 0, 1, 6, 143
"c:\Users\Acer\u_teen\lib\data\payment_methods_data.dart", "Dart", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\Acer\u_teen\lib\data\search_data.dart", "Dart", 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 7, 73
"c:\Users\Acer\u_teen\lib\firebase_options.dart", "Dart", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 12, 3, 68
"c:\Users\Acer\u_teen\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 428, 0, 0, 0, 0, 0, 2, 49, 479
"c:\Users\Acer\u_teen\lib\models\balance_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 7, 68
"c:\Users\Acer\u_teen\lib\models\cart_item.dart", "Dart", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 5, 50
"c:\Users\Acer\u_teen\lib\models\favorite_item.dart", "Dart", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 5, 42
"c:\Users\Acer\u_teen\lib\models\notification_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 8, 104
"c:\Users\Acer\u_teen\lib\models\order_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 11, 221
"c:\Users\Acer\u_teen\lib\models\payment_method.dart", "Dart", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\Acer\u_teen\lib\models\product_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 6, 97
"c:\Users\Acer\u_teen\lib\models\rating_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Acer\u_teen\lib\providers\balance_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 19, 120
"c:\Users\Acer\u_teen\lib\providers\cart_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 0, 1, 15, 144
"c:\Users\Acer\u_teen\lib\providers\favorite_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 9, 92
"c:\Users\Acer\u_teen\lib\providers\food_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 176, 0, 0, 0, 0, 0, 11, 29, 216
