"filename", "language", "C++", "CMake", "JSON", "YAML", "Dart", "Swift", "HTML", "Markdown", "XML", "Java Properties", "comment", "blank", "total"
"c:\Users\Acer\u_teen\lib\screens\customer\my_orders_screen.dart", "Dart", 0, 0, 0, 0, 205, 0, 0, 0, 0, 0, 1, 12, 218
"c:\Users\Acer\u_teen\lib\screens\customer\notification_screen.dart", "Dart", 0, 0, 0, 0, 280, 0, 0, 0, 0, 0, 3, 8, 291
"c:\Users\Acer\u_teen\lib\screens\customer\payment_screen.dart", "Dart", 0, 0, 0, 0, 355, 0, 0, 0, 0, 0, 3, 26, 384
"c:\Users\Acer\u_teen\lib\screens\customer\payment_success_screen.dart", "Dart", 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 5, 112
"c:\Users\Acer\u_teen\lib\screens\customer\profile_screen.dart", "Dart", 0, 0, 0, 0, 481, 0, 0, 0, 0, 0, 1, 10, 492
"c:\Users\Acer\u_teen\lib\screens\customer\shopping_cart_screen.dart", "Dart", 0, 0, 0, 0, 496, 0, 0, 0, 0, 0, 0, 28, 524
"c:\Users\Acer\u_teen\lib\screens\login_screen.dart", "Dart", 0, 0, 0, 0, 309, 0, 0, 0, 0, 0, 1, 25, 335
"c:\Users\Acer\u_teen\lib\screens\seller\cancellation_screen.dart", "Dart", 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 6, 89
"c:\Users\Acer\u_teen\lib\screens\seller\completed_screen.dart", "Dart", 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 8, 96
"c:\Users\Acer\u_teen\lib\screens\seller\edit_product_screen.dart", "Dart", 0, 0, 0, 0, 543, 0, 0, 0, 0, 0, 7, 39, 589
"c:\Users\Acer\u_teen\lib\screens\seller\home_screen.dart", "Dart", 0, 0, 0, 0, 494, 0, 0, 0, 0, 0, 0, 13, 507
"c:\Users\Acer\u_teen\lib\screens\seller\my_balance_screen.dart", "Dart", 0, 0, 0, 0, 313, 0, 0, 0, 0, 0, 0, 12, 325
"c:\Users\Acer\u_teen\lib\screens\seller\my_product_screen.dart", "Dart", 0, 0, 0, 0, 145, 0, 0, 0, 0, 0, 0, 8, 153
