"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Acer\u_teen\lib\screens\seller\rating_screen.dart", "Dart", 6, 0, 2, 8
"c:\Users\Acer\u_teen\lib\widgets\rating\feedback_card.dart", "Dart", 12, 0, 0, 12
"c:\Users\Acer\u_teen\lib\widgets\rating\rating_distribution.dart", "Dart", -71, 0, -5, -76
"c:\Users\Acer\u_teen\lib\widgets\rating\rating_distribution_card.dart", "Dart", 72, 0, 5, 77
"c:\Users\Acer\u_teen\lib\widgets\rating\rating_history_card.dart", "Dart", 1, 0, 0, 1
"c:\Users\Acer\u_teen\lib\widgets\rating\rating_summary_card.dart", "Dart", 1, 0, 0, 1
"Total", "-", 21, 0, 2, 23
