"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Acer\u_teen\lib\auth\auth_provider.dart", "Dart", 1, 0, 0, 1
"c:\Users\Acer\u_teen\lib\models\order_model.dart", "Dart", -1, 0, -1, -2
"c:\Users\Acer\u_teen\lib\models\product_model.dart", "Dart", 6, 0, -3, 3
"c:\Users\Acer\u_teen\lib\providers\food_provider.dart", "Dart", 7, 1, 1, 9
"c:\Users\Acer\u_teen\lib\providers\order_provider.dart", "Dart", 27, 6, 5, 38
"c:\Users\Acer\u_teen\lib\screens\customer\home_screen.dart", "Dart", 41, 0, 1, 42
"c:\Users\Acer\u_teen\lib\screens\customer\notification_screen.dart", "Dart", 22, 0, 1, 23
"c:\Users\Acer\u_teen\lib\screens\customer\payment_screen.dart", "Dart", 3, 0, 0, 3
"c:\Users\Acer\u_teen\lib\screens\customer\shopping_cart_screen.dart", "Dart", 93, 0, -4, 89
"c:\Users\Acer\u_teen\lib\screens\seller\edit_product_screen.dart", "Dart", 63, -4, 6, 65
"c:\Users\Acer\u_teen\lib\screens\seller\my_balance_screen.dart", "Dart", 203, -4, 0, 199
"c:\Users\Acer\u_teen\lib\screens\seller\my_product_screen.dart", "Dart", -111, -4, -3, -118
"c:\Users\Acer\u_teen\lib\screens\seller\transaction_history_screen.dart", "Dart", 37, -3, -1, 33
"c:\Users\Acer\u_teen\lib\services\calendar_service.dart", "Dart", 46, 0, 1, 47
"c:\Users\Acer\u_teen\lib\widgets\customer\detail_box.dart", "Dart", 54, 7, 9, 70
"c:\Users\Acer\u_teen\lib\widgets\food_list.dart", "Dart", 54, 2, 1, 57
"c:\Users\Acer\u_teen\lib\widgets\order_card.dart", "Dart", 199, 14, 14, 227
"c:\Users\Acer\u_teen\lib\widgets\payment_method_card.dart", "Dart", 79, 3, 7, 89
"c:\Users\Acer\u_teen\lib\widgets\seller\calendar_widget.dart", "Dart", -9, 0, 1, -8
"c:\Users\Acer\u_teen\lib\widgets\seller\product_card.dart", "Dart", 201, 5, 3, 209
"Total", "-", 1015, 23, 38, 1076
