"filename", "language", "C++", "YAML", "JSON", "Dart", "Swift", "HTML", "Markdown", "XML", "Java Properties", "comment", "blank", "total"
"c:\Users\Acer\u_teen\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\Acer\u_teen\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\Acer\u_teen\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"c:\Users\Acer\u_teen\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 1, 1, 38
"c:\Users\Acer\u_teen\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 1, 1, 27
"c:\Users\Acer\u_teen\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Acer\u_teen\lib\auth\auth_provider.dart", "Dart", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 15, 88
"c:\Users\Acer\u_teen\lib\auth\auth_service.dart", "Dart", 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 5, 74
"c:\Users\Acer\u_teen\lib\auth\logout_service.dart", "Dart", 0, 0, 0, 67, 0, 0, 0, 0, 0, 5, 5, 77
"c:\Users\Acer\u_teen\lib\data\food_data.dart", "Dart", 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 5, 81
"c:\Users\Acer\u_teen\lib\data\payment_methods_data.dart", "Dart", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\Acer\u_teen\lib\data\search_data.dart", "Dart", 0, 0, 0, 46, 0, 0, 0, 0, 0, 8, 7, 61
"c:\Users\Acer\u_teen\lib\main.dart", "Dart", 0, 0, 0, 383, 0, 0, 0, 0, 0, 1, 31, 415
"c:\Users\Acer\u_teen\lib\models\balance_model.dart", "Dart", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 7, 66
"c:\Users\Acer\u_teen\lib\models\cart_item.dart", "Dart", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 4, 29
"c:\Users\Acer\u_teen\lib\models\favorite_item.dart", "Dart", 0, 0, 0, 34, 0, 0, 0, 0, 0, 2, 5, 41
"c:\Users\Acer\u_teen\lib\models\notification_model.dart", "Dart", 0, 0, 0, 96, 0, 0, 0, 0, 0, 1, 8, 105
